#	S	N	Амплитуда	Время
1	+	7	-1.353521	9.069000
2	+	7	-1.323154	9.004000
3	+	7	-3.085366	7.673000
4	+	7	-3.999738	4.377000
5	+	7	-3.687332	7.304000
6	+	7	-1.256757	9.286000
6	+	7	-1.256757	9.288000
6	+	7	-1.256758	9.290000
7	+	7	-3.999738	4.364000
8	+	7	-1.050988	9.448000
9	+	7	-1.128748	9.415000
9	+	7	-1.128590	9.442000
9	+	7	-1.129788	9.512000
9	+	7	-1.129787	9.514000
10	+	7	-1.068601	9.478000
11	+	7	-0.978097	9.486000
12	+	7	-3.999738	4.380000
13	+	7	-2.467582	9.245000
14	+	7	-1.761013	8.730000
14	+	7	-1.759991	8.778000
14	+	7	-1.760115	8.799000
15	+	7	-0.961448	9.760000
16	+	7	-1.049225	9.514000
16	+	7	-1.049227	9.517000
17	+	7	-1.320104	9.109000
18	+	7	-1.817352	8.622000
19	+	7	-3.959038	7.231000
20	+	7	-1.149223	9.385000
20	+	7	-1.149222	9.389000
20	+	7	-1.149225	9.393000
20	+	7	-1.149328	9.429000
20	+	7	-1.149330	9.433000
20	+	7	-1.149326	9.435000
20	+	7	-1.149322	9.439000
21	+	7	-1.997084	8.132000
22	+	7	-1.432590	9.011000
23	+	7	-2.744737	7.849000
24	+	7	-1.418889	9.502000
25	+	7	-1.479058	8.994000
25	+	7	-1.479059	8.996000
25	+	7	-1.478594	9.040000
25	+	7	-1.478678	9.062000
25	+	7	-1.478680	9.064000
25	+	7	-1.478681	9.066000
26	+	7	-1.488606	8.992000
26	+	7	-1.488605	8.994000
27	+	7	-1.491844	9.416000
28	+	7	-1.496069	9.051000
28	+	7	-1.496067	9.053000
29	+	7	-2.422309	8.222000
30	+	7	-1.431525	9.027000
31	+	7	-0.977193	9.589000
32	+	7	-1.060461	9.520000
32	+	7	-1.060462	9.522000
33	+	7	-1.120039	9.680000
34	+	7	-3.513633	7.503000
35	+	7	-2.184747	6.444000
36	+	7	-1.127499	9.411000
37	+	7	-2.945157	7.903000
38	+	7	-1.064390	9.716000
39	+	7	-1.039638	9.505000
40	+	7	-2.088467	7.455000
41	+	7	-0.980423	9.424000
42	+	7	-1.377435	9.085000
42	+	7	-1.377432	9.087000
43	+	7	-0.974539	9.506000
43	+	7	-0.974045	9.602000
44	+	7	-1.303755	9.189000
44	+	7	-1.303758	9.191000
44	+	7	-1.303757	9.193000
45	+	7	-1.582406	8.785000
46	+	7	-2.954729	7.682000
47	+	7	-0.968466	9.480000
48	+	7	-1.180204	9.357000
49	+	7	-1.236622	9.199000
50	+	7	-1.034231	9.591000
51	+	7	-0.962768	9.528000
52	+	7	-1.098561	9.734000
53	+	7	-1.323673	9.151000
54	+	7	-1.406584	9.489000
55	+	7	-1.422289	9.001000
56	+	7	-1.188183	9.378000
57	+	7	-1.016896	9.727000
58	+	7	-1.270058	9.235000
58	+	7	-1.270059	9.237000
59	+	7	-0.970330	9.472000
60	+	7	-1.045754	9.436000
60	+	7	-1.045752	9.438000
61	+	7	-1.059692	9.504000
62	+	7	-3.999738	7.979000
63	+	7	-1.194147	7.939000
63	+	7	-1.176799	8.112000
